Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,rushing_yds,rushing_tds,rushing_twoptm,rushing_yds_FF_pts,rushing_tds_FF_pts,rushing_twoptm_FF_pts,total_FF_pts
55858,GB,WAS,Sun,9,15,2013,2,R.Griffin,WAS,False,1,0,0,0.0,0.0,0.0,0.0
55858,GB,WAS,Sun,9,15,2013,2,A.Morris,WAS,False,107,0,0,10.0,0.0,0.0,10.0
55859,HOU,TEN,Sun,9,15,2013,2,B.Tate,HOU,True,93,0,0,9.0,0.0,0.0,9.0
55859,HOU,TEN,Sun,9,15,2013,2,A.Foster,HOU,True,79,1,1,7.0,6.0,2.0,15.0
55859,HOU,TEN,Sun,9,15,2013,2,J.Locker,TEN,False,10,0,0,1.0,0.0,0.0,1.0
55859,HOU,TEN,Sun,9,15,2013,2,J.Battle,TEN,False,13,0,0,1.0,0.0,0.0,1.0
55859,HOU,TEN,Sun,9,15,2013,2,C.Johnson,TEN,False,96,0,0,9.0,0.0,0.0,9.0
55860,IND,MIA,Sun,9,15,2013,2,A.Luck,IND,True,38,0,0,3.0,0.0,0.0,3.0
55860,IND,MIA,Sun,9,15,2013,2,A.Bradshaw,IND,True,65,1,0,6.0,6.0,0.0,12.0
55860,IND,MIA,Sun,9,15,2013,2,D.Brown,IND,True,30,0,0,3.0,0.0,0.0,3.0
55860,IND,MIA,Sun,9,15,2013,2,R.Tannehill,MIA,False,1,0,0,0.0,0.0,0.0,0.0
55860,IND,MIA,Sun,9,15,2013,2,L.Miller,MIA,False,69,1,0,6.0,6.0,0.0,12.0
55860,IND,MIA,Sun,9,15,2013,2,C.Clay,MIA,False,1,1,0,0.0,6.0,0.0,6.0
55860,IND,MIA,Sun,9,15,2013,2,D.Thomas,MIA,False,30,0,0,3.0,0.0,0.0,3.0
55861,KC,DAL,Sun,9,15,2013,2,A.Smith,KC,True,57,0,0,5.0,0.0,0.0,5.0
55861,KC,DAL,Sun,9,15,2013,2,D.Avery,KC,True,2,0,0,0.0,0.0,0.0,0.0
55861,KC,DAL,Sun,9,15,2013,2,J.Charles,KC,True,55,0,0,5.0,0.0,0.0,5.0
55861,KC,DAL,Sun,9,15,2013,2,T.Romo,DAL,False,3,0,0,0.0,0.0,0.0,0.0
55861,KC,DAL,Sun,9,15,2013,2,L.Dunbar,DAL,False,12,0,0,1.0,0.0,0.0,1.0
