Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,fumbles_rec,fumbles_yds,fumbles_rec_tds,fumbles_lost,fumble_lost_FF_pts,fumble_tds_FF_pts,total_FF_pts
55886,BUF,BAL,Sun,9,29,2013,4,E.Manuel,BUF,True,0,0,0,1,-2.0,0.0,-2.0
55886,BUF,BAL,Sun,9,29,2013,4,F.Jackson,BUF,True,0,0,0,0,0.0,0.0,0.0
55886,BUF,BAL,Sun,9,29,2013,4,S.Johnson,BUF,True,0,0,0,0,0.0,0.0,0.0
55886,BUF,BAL,Sun,9,29,2013,4,K.Urbik,BUF,True,0,0,0,0,0.0,0.0,0.0
55886,BUF,BAL,Sun,9,29,2013,4,B.Williams,BAL,False,0,0,0,0,0.0,0.0,0.0
55887,CLE,CIN,Sun,9,29,2013,4,C.Owens,CLE,True,0,0,0,0,0.0,0.0,0.0
55887,CLE,CIN,Sun,9,29,2013,4,A.Dalton,CIN,False,0,-14,0,1,-2.0,0.0,-2.0
55887,CLE,CIN,Sun,9,29,2013,4,G.Bernard,CIN,False,0,0,0,0,0.0,0.0,0.0
55888,DET,CHI,Sun,9,29,2013,4,M.Stafford,DET,True,0,0,0,1,-2.0,0.0,-2.0
55888,DET,CHI,Sun,9,29,2013,4,R.Bush,DET,True,0,0,0,0,0.0,0.0,0.0
55888,DET,CHI,Sun,9,29,2013,4,J.Bell,DET,True,0,0,0,1,-2.0,0.0,-2.0
55888,DET,CHI,Sun,9,29,2013,4,C.Johnson,DET,True,0,1,0,0,0.0,0.0,0.0
55888,DET,CHI,Sun,9,29,2013,4,N.Fairley,DET,True,0,4,0,0,0.0,0.0,0.0
55888,DET,CHI,Sun,9,29,2013,4,J.Cutler,CHI,False,0,0,0,1,-2.0,0.0,-2.0
55888,DET,CHI,Sun,9,29,2013,4,D.Hester,CHI,False,0,0,0,0,0.0,0.0,0.0
55888,DET,CHI,Sun,9,29,2013,4,M.Ford,CHI,False,0,0,0,0,0.0,0.0,0.0
55888,DET,CHI,Sun,9,29,2013,4,S.McClellin,CHI,False,0,0,0,0,0.0,0.0,0.0
55888,DET,CHI,Sun,9,29,2013,4,C.Wootton,CHI,False,0,1,0,0,0.0,0.0,0.0
55889,HOU,SEA,Sun,9,29,2013,4,B.Tate,HOU,True,0,0,0,1,-2.0,0.0,-2.0
55889,HOU,SEA,Sun,9,29,2013,4,G.Graham,HOU,True,0,0,0,0,0.0,0.0,0.0
