Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,passing_att,passing_incmp,passing_cmp,passing_tds,passing_int,passing_yds,passing_twoptm,passing_yds_FF_pts,passing_tds_FF_pts,passing_twopt_FF_pts,intercept_FF_pts,total_FF_pts
55908,TEN,KC,Sun,10,6,2013,5,R.Fitzpatrick,TEN,True,41,0,21,1,2,247,0,9.0,4.0,0.0,-2.0,11.0
55908,TEN,KC,Sun,10,6,2013,5,A.Smith,KC,False,39,0,20,0,1,245,0,9.0,0.0,0.0,-1.0,8.0
55909,ARI,CAR,Sun,10,6,2013,5,C.Palmer,ARI,True,28,0,19,1,3,175,0,7.0,4.0,0.0,-3.0,8.0
55909,ARI,CAR,Sun,10,6,2013,5,C.Newton,CAR,False,39,0,21,0,3,308,0,12.0,0.0,0.0,-3.0,9.0
55910,DAL,DEN,Sun,10,6,2013,5,T.Romo,DAL,True,36,0,25,5,1,506,1,20.0,20.0,2.0,-1.0,41.0
55910,DAL,DEN,Sun,10,6,2013,5,P.Manning,DEN,False,42,0,33,4,1,414,0,16.0,16.0,0.0,-1.0,31.0
55911,OAK,SD,Sun,10,6,2013,5,T.Pryor,OAK,True,23,0,18,2,0,221,0,8.0,8.0,0.0,0.0,16.0
55911,OAK,SD,Sun,10,6,2013,5,P.Rivers,SD,False,49,0,36,2,3,411,0,16.0,8.0,0.0,-3.0,21.0
55912,SF,HOU,Sun,10,6,2013,5,C.Kaepernick,SF,True,15,0,6,1,0,113,0,4.0,4.0,0.0,0.0,8.0
55912,SF,HOU,Sun,10,6,2013,5,T.Yates,HOU,False,5,0,3,0,0,15,0,0.0,0.0,0.0,0.0,0.0
55912,SF,HOU,Sun,10,6,2013,5,M.Schaub,HOU,False,35,0,19,0,3,173,0,6.0,0.0,0.0,-3.0,3.0
55913,ATL,NYJ,Mon,10,7,2013,5,S.Schillinger,ATL,True,1,0,1,0,0,-8,0,-1.0,0.0,0.0,0.0,-1.0
55913,ATL,NYJ,Mon,10,7,2013,5,M.Ryan,ATL,True,45,0,36,2,0,319,0,12.0,8.0,0.0,0.0,20.0
55913,ATL,NYJ,Mon,10,7,2013,5,G.Smith,NYJ,False,20,0,16,3,0,199,0,7.0,12.0,0.0,0.0,19.0
55914,CHI,NYG,Thu,10,10,2013,6,J.Cutler,CHI,True,36,0,24,2,0,262,0,10.0,8.0,0.0,0.0,18.0
55914,CHI,NYG,Thu,10,10,2013,6,E.Manning,NYG,False,26,0,14,1,3,239,0,9.0,4.0,0.0,-3.0,10.0
55915,BAL,GB,Sun,10,13,2013,6,J.Flacco,BAL,True,34,0,20,2,0,342,0,13.0,8.0,0.0,0.0,21.0
55915,BAL,GB,Sun,10,13,2013,6,A.Rodgers,GB,False,32,0,17,1,1,315,0,12.0,4.0,0.0,-1.0,15.0
55916,BUF,CIN,Sun,10,13,2013,6,T.Lewis,BUF,True,32,0,19,2,0,216,0,8.0,8.0,0.0,0.0,16.0
55916,BUF,CIN,Sun,10,13,2013,6,A.Dalton,CIN,False,40,0,26,3,1,337,0,13.0,12.0,0.0,-1.0,24.0
55917,CLE,DET,Sun,10,13,2013,6,B.Weeden,CLE,True,43,0,26,2,2,292,0,11.0,8.0,0.0,-2.0,17.0
55917,CLE,DET,Sun,10,13,2013,6,M.Stafford,DET,False,43,0,25,4,1,248,0,9.0,16.0,0.0,-1.0,24.0
55918,HOU,STL,Sun,10,13,2013,6,T.Yates,HOU,True,15,0,11,0,2,98,0,3.0,0.0,0.0,-2.0,1.0
